part_number,capture_sequence,propaedia_page_reference,image_relative_path,header_context,topic_summary,extracted_count,risky_recommendation_count,extracted_titles,review_status,visual_title_count,missing_titles,extra_titles,notes
1,1,22,propaedia_pages/part_1/propaedia-2010-part-01-photo-01.jpg,22 Part One. Matter and Energy,Major articles dealing with the structure and properties of atoms,4,3,"Analysis and Measurement, Physical and Chemical | Atoms: Their Structure, Properties, and Component Particles | Physical Science, Principles of | Physical Sciences, The",verified,,,,
1,2,26,propaedia_pages/part_1/propaedia-2010-part-01-photo-02.jpg,26 Part One. Matter and Energy,Major articles dealing withthe atomic nucleus and elementary particles,5,3,"Radiation | Analysis and Measurement, Physical and Chemical | Subatomic Particles | Atoms: Their Structure, Properties, and Component Particles | Physical Sciences, The",verified,,,,
1,3,28,propaedia_pages/part_1/propaedia-2010-part-01-photo-03.jpg,28 Part One. Matter and Energy,Major articles dealing with chemical elements: periodic variation in their properties,2,0,Chemical Compounds | Chemical Elements,verified,,,,
1,4,32,propaedia_pages/part_1/propaedia-2010-part-01-photo-04.jpg,Part One. Matter and Energy,Major articles dealing with chemical compounds: molecular structure and chemical bonding,2,0,Biochemical Components of Organisms | Chemical Compounds,verified,,,,
1,5,36,propaedia_pages/part_1/propaedia-2010-part-01-photo-05.jpg,36 Part One. Matter and Energy,Major articles dealing with chemical reactions,2,1,"Chemical Reactions | Physical Sciences, The",verified,,,,
1,6,39,propaedia_pages/part_1/propaedia-2010-part-01-photo-06.jpg,Division II. Section 124,"Major articles dealing with heat, thermodynamics, and the nonsolid states of matter",3,2,"Matter: Its Properties, States, Varieties, and Behaviour | Physical Sciences, The | Thermodynamics, Principles of",verified,,,,
1,7,42,propaedia_pages/part_1/propaedia-2010-part-01-photo-07.jpg,42 Part One. Matter and Energy,Major articles dealing with the solid state of matter,2,0,"Matter: Its Properties, States, Varieties, and Behaviour | Minerals and Rocks",verified,,,,
1,8,44,propaedia_pages/part_1/propaedia-2010-part-01-photo-08.jpg,44 Part One. Matter and Energy,"Major articles dealing with the mechanics of particles, rigid bodies, and deformable bodies: elasticity, vibrations, and flow",3,0,"Energy Conversion | Matter: Its Properties, States, Varieties, and Behaviour | Mechanics: Energy, Forces, and Their Effects",verified,,,,
1,9,47,propaedia_pages/part_1/propaedia-2010-part-01-photo-09.jpg,Division II. Section 127,Major articles dealing with electricity and magnetism,3,0,Energy Conversion | Electricity and Magnetism | Electromagnetic Radiation,verified,,,,
1,10,50,propaedia_pages/part_1/propaedia-2010-part-01-photo-10.jpg,50 Part One. Matter and Energy,Major articles dealing with waves and wave motion,5,1,"Colour | Electromagnetic Radiation | Optics, Principles of | Sound | Light",verified,,,,
1,11,53,propaedia_pages/part_1/propaedia-2010-part-01-photo-11.jpg,Division III. Section 132,Major articles dealing with the cosmos,5,3,"Analysis and Measurement, Physical and Chemical | Cosmos, The | Gravitation | Physical Sciences, The | Relativity",verified,,,,
1,12,55,propaedia_pages/part_1/propaedia-2010-part-01-photo-12.jpg,Division III. Section 132,Major articles dealing with galaxies and stars,5,2,"Cosmos, The | Galaxies | Nebula | Physical Sciences, The | Stars and Star Clusters",verified,,,,
1,13,58,propaedia_pages/part_1/propaedia-2010-part-01-photo-13.jpg,58 Part One. Matter and Energy,Major articles dealing with the solar system. See also Section 211 of Part Two,5,3,"Calendar | Earth, The: Its Properties, Composition, and Structure | Eclipse, Occultation, and Transit | Physical Sciences, The | Solar System, The",verified,,,,
